City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Isangel,VU,2022-07-31 23:58:32,-19.55,169.2667,299.21,78,40,3.6,scattered clouds
125,Blackwater,AU,2022-07-31 23:58:32,-23.5833,148.8833,292.72,61,92,5.61,overcast clouds
126,Cheremshan,RU,2022-07-31 23:58:33,54.6667,51.5,290.72,90,96,0.99,overcast clouds
127,Mahebourg,MU,2022-07-31 23:58:33,-20.4081,57.7,293.85,83,40,4.12,scattered clouds
128,Shenkursk,RU,2022-07-31 23:58:33,62.1091,42.896,284.45,93,12,1.74,few clouds
129,Paamiut,GL,2022-07-31 23:58:34,61.994,-49.6678,280.93,88,82,2.94,broken clouds
130,Kahului,US,2022-07-31 23:55:10,20.8947,-156.47,303.13,71,18,6.71,few clouds
131,Oistins,BB,2022-07-31 23:58:34,13.0667,-59.5333,301.2,83,40,8.75,scattered clouds
132,Sistranda,NO,2022-07-31 23:58:34,63.7256,8.834,284.13,81,100,3.1,light rain
133,Mabaruma,GY,2022-07-31 23:58:35,8.2,-59.7833,297.44,88,16,1.62,few clouds
134,La Roda,ES,2022-07-31 23:58:35,39.2167,-2.15,298.65,67,22,5.97,few clouds
135,Yongan,CN,2022-07-31 23:58:35,39.6957,113.6871,297.81,59,1,1.25,clear sky
136,Phan Thiet,VN,2022-07-31 23:58:31,10.9333,108.1,299.36,88,100,2.99,overcast clouds
137,Longyearbyen,SJ,2022-07-31 23:58:36,78.2186,15.6401,283.06,76,40,5.66,scattered clouds
138,Tessalit,ML,2022-07-31 23:58:36,20.1986,1.0114,307.64,18,76,2.28,broken clouds
139,Amapa,BR,2022-07-31 23:58:36,1.0,-52.0,295.65,97,88,1.03,overcast clouds
140,Husavik,IS,2022-07-31 23:58:37,66.0449,-17.3389,278.74,92,99,4.88,overcast clouds
141,Koceljeva,RS,2022-07-31 23:58:37,44.4736,19.8117,289.47,56,33,2.32,scattered clouds
142,Atuona,PF,2022-07-31 23:58:37,-9.8,-139.0333,298.09,74,12,6.12,few clouds
143,Leningradskiy,RU,2022-07-31 23:58:38,69.3833,178.4167,283.9,63,50,3.18,scattered clouds
144,College,US,2022-07-31 23:58:38,64.8569,-147.8028,292.71,81,100,0.45,overcast clouds
145,Hobyo,SO,2022-07-31 23:58:38,5.3505,48.5268,297.11,85,0,10.44,clear sky
146,Bolobo,CD,2022-07-31 23:58:39,-2.1667,16.2333,296.73,58,19,1.65,few clouds
